"Numero de département","Numéro agrément/Approval number","SIRET","Raison SOCIALE - Enseigne commerciale/Name","Adresse/Adress","Code postal/Postal code","Commune/Town","Catégorie/Category","Activités associées/Associated activities","Espèce/Specy"
"26","26.081.031","31598309800015","CHARCUTERIE DES LIMOUCHES"," QUA QUARTIER DES ALLEMANDS","26120","CHATEAUDOUBLE","PP","V(MP)",""
"26","26.083.011","30116944700028","LES VOLAILLERS DU DAUPHINE CAPAG"," ZA DES AIRES","26330","CHATEAUNEUF-DE-GALAURE","PP","II(CP);II(SH);V(MP)",""
"26","26.088.011","31004661000054","BERNARD ROYAL DAUPHINE","70 B ROUTE DE L'EPENET PIZANCON","26300","CHATUZANGE-LE-GOUBET","PP","II(CP);V(MP)",""
"26","26.113.031","91871654900012","LE CARRE DE PICQ"," 19 RUE DES JARDINS","26150","DIE","PP","",""
"26","26.113.032","47902861500041","BOSSAN VALERIE - CANARD SAINT SORNIN"," 120 IMP SAINT SORNIN","26150","DIE","PP","",""
"26","26.170.002","31857058700036","SOLE MIO","20 AVENUE DU GUIMAND ZA DU GUIMAND","26120","MALISSARD","PP","",""
"26","26.173.031","43242044600010","SAVEURS - DELICES DES PAYRES","QUARTIER LES PAYRES 1447 AVENUE DU VERCORS","26300","MARCHES","PP","",""
"26","26.173.033","38503064800021","SARL GRIMAUD"," 48 RTE DES COMPAGNONS","26300","MARCHES","PP","",""
"26","26.173.034","81268490000010","PROHET - ETABLISSEMENTS CHABERT","QUARTIER MISTRAL 303 RTE DES QUATRE VENTS","26300","MARCHES","PP","II(SH)",""
"26","26.214.031","75156329700025","TROUPEOU"," LES DEVES","26460","MORNANS","PP","I(CP);V(MP)",""
"26","26.216.002","89863204700012","TRANSFO TERROIR"," 400 RTE DES BLACHES","26240","SAINT-JEAN-DE-GALAURE","PP","I(CP)",""
"26","26.218.031","32893141500025","ROMANS SALAISONS"," 8 CHE DES MEANNES","26540","MOURS-SAINT-EUSEBE","PP","",""
"26","26.218.032","39181971100030","MERE MAURY - RAVIOLES MERE MAURY"," 4 RUE DES ALPES","26540","MOURS-SAINT-EUSEBE","PP","",""
"26","26.281.031","31182126800092","SAINT JEAN"," 49 AVENUE DE LA DEPORTATION","26100","ROMANS-SUR-ISERE","PP","",""
"26","26.362.211","95147733000025","VALAB"," 26 RUE NOTRE DAME DE SOYONS","26000","VALENCE","PP","VIII(PP);X(PP)",""
"26","26.365.031","51851683600013","DIDIER VINCENT - FERME DES AYASSES"," LES AYASSES","26400","VAUNAVEYS-LA-ROCHETTE","PP","I(CP)",""
"27","27.036.001","50278675900014","LA FERME DU LOUVIER","FERME DU LOUVIER ","27130","BALINES","PP","0(CS);I(CP);V(MP)",""
"27","27.056.138","51314808000049","FERME 2 BOISSY - SERVICE COKTAIL.COM   -   LA MARE AUX VOLAILLES    -  F2B LABO"," HAM DES GRANGES","27300","BERNAY","PP","0(CS);V(MP)",""
"27","27.067.002","92265559200017","LE PETIT ELOI"," 4 R DES MOULINEAUX","27660","BEZU-SAINT-ELOI","PP","I(CP);V(MM)",""
"27","27.198.003","39475210900014","LE CHARCUTIER DE L'ITON","LA MARE AUX LOUPS-ZA 1 RUE DES ALOUETTES","27160","MESNILS-SUR-ITON","PP","V(MP)",""
"27","27.218.001","44142031200015","FERME DE LA HOUSSAYE","ZONE D'ACTIVITE LA FERME DU TREFLE","27260","EPAIGNES","PP","0(CS);I(CP);II(CP);II(SH);V(MP)",""
"27","27.332.002","34800667700036","CUISINE SOLUTIONS EUROPE","ECOPARC 1 ALLEE DES TILLEULS","27400","HEUDEBOUVILLE","PP","0(CS);VIII(PP);V(MP)",""
"27","27.370.001","41909022000015","SARL DE LA FERME DU LOGIS"," FERME DU LOGIS","27440","LISORS","PP","I(CP);II(CP)",""
"27","27.428.003","52182348400022","AJINOMOTO FROZEN FOODS FRANCE"," RTE DE PONT DE L'ARCHE","27110","LE NEUBOURG","PP","0(CS);VIII(PP)",""
"27","27.517.010","33004253200060","ERISAY RECEPTIONS - ERISAY","LIEU DIT CLOS DU GRAND MONT ZAC LES CHAMPS CHOUETTE","27600","SAINT-AUBIN-SUR-GAILLON","PP","VIII(PP)",""
"27","27.679.115","82141061000025","SOCIETE NOUVELLE YABON VERNEUIL","PETIT MESNIL ZONE INDUSTRIELLE","27130","VERNEUIL D'AVRE ET D'ITON","PP","0(WM);IX(PP);VIII(MSFP)",""
"27","27.701.060","41963198100026","VARENNE GASTRONOMIE","PARC DE LA FRINGALE VOIE BABEURRE","27100","VAL-DE-REUIL","PP","0(CS);VIII(PP)",""
"28","28.027.005","44892780600019","CHB"," LD LE HAUT BOIS","28330","LA BAZOCHE-GOUET","PP","I(CP)",""
"28","28.051.002","39779943800023","CROCK","ZONE INDUSTRIELLE 6 CHE DES ROCHES","28800","BONNEVAL","PP","",""
"28","28.062.001","89045398800010","EARL FERME VAN DER HEYDEN"," 8 RUE DE SENARMONT","28410","BROUE","PP","II(CP);V(MP)",""
"28","28.085.003","48160419700063","BERKEM DEVELOPPEMENT - GROUPE BERKEM"," 53 AV D ORLEANS","28000","CHARTRES","PP","IX(PP);VIII(PP);X(PP)",""
"28","28.085.305","33398501800048","BOUCHERIE DYNAMIQUE"," RUE HENRI MACE","28000","CHARTRES","PP","I(CP);II(CP);V(MP)",""
"28","28.111.020","34965667800027","VALLEGRAIN DISTRIBUTION","ZONE ARTISANALE DU LE MOULIN DE LA BOURDINIERE","28330","COUDRAY-AU-PERCHE","PP","I(CP);V(MP)",""
