depInsee,dossApproNumConcatLb,etbSiret,etbLb,adrConcat,codePostalNb,comNomSimplifie,aggCatUe,aggActiviteAssocie,aggEspUe
88,88.383.009,30635009100030,AUX PRIMEURS DES VOSGES,"3 T RUE DU GRAND BREUIL ",88200,REMIREMONT,CS,,
88,88.413.003,51408083700222,ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL,ETS BASE DE SAINT DIE ZI D'HELLIEULE 4 ETS BASE DE SAINT DIE,88100,SAINT-DIE-DES-VOSGES,CS,,
88,88.429.001,39225640000020,CLEURIE - AUGIER,ZI DE L'ENCENCEMENT ZONE INDUSTRIELLE ZI DE L'ENCENCEMENT,88200,SAINT-NABORD,CS,IX(PP),
88,88.429.026,79422687800013,LOR-VIANDES,"1 RUE DU HAUT DE LA PLAINE ",88200,SAINT-NABORD,CS,I(CP);II(CP);VI(PP);V(MP),
88,88.470.033,39341525200021,PIERRAT,ZA LA RAIN BRICE  ZA LA RAIN BRICE,88530,LE THOLY,CS,VI(PP);V(MM),
88,88.487.042,47808298500019,AU FUME CAMPAGNARD,"RUE DU DEVAU ",88340,LE VAL-D'AJOL,CS,I(CP);VI(PP);V(MP),
89,89.180.001,50171892800010,EURIAL LOGISTIQUE EST,"ZAC DE L'AIRE DE VILLEROY ",89150,FOUCHERES,CS,,
89,89.257.002,84818425500018,FRIGO HUIT MIGENNES,"29 RUE PAUL BERT ",89400,MIGENNES,CS,,
89,89.257.003,31206861200018,BOURGOGNE PRIMEURS,GARE SNCF RUE PAUL BERT GARE SNCF,89400,MIGENNES,CS,,
89,89.263.004,38525053500098,BOURGOGNE PRODUITS FRAIS,PARC D ACTIVITES LES TERRE RUE ST EXUPERY PARC D'ACTIVITES LES TERRE,89470,MONETEAU,CS,,
89,89.387.003,70628007000048,STEF TRANSPORT SENS,ZONE INDUSTRIELLE DES VAGUILLETTES BD DES NOYERS POMPONS ZI DES VAUGUILLETTES,89100,SENS,CS,,
89,89.387.005,44441160700013,LOGISTIQUE FRIGORIFIQUE BOURGUIGNONNE,ZONE INDUSTRIELLE DES VAUGUILLETTES BD DE LA COTE AUX PIGEONS ZI DES VAUGUILLETTES,89100,SENS,CS,,
90,90.010.104,39931561300824,METRO FRANCE,PARC D ACTIVITE DES HAUTS RUE ALBERT CAMUS PARC D ACTIVITE DES HAUTS,90000,BELFORT,CS,,
90,90.015.001,32627731600021,TRANSPORTS FRIGORIFIQUES EXBRAYAT SA,"6 RUE DU PORT ",90400,BOTANS,CS,,
90,90.091.001,38909042400018,MARTIN DIFFUSION,SAINT GERMAIN LE CHATELET 51 RUE PRINCIPALE SAINT GERMAIN LE CHATELET,90110,SAINT-GERMAIN-LE-CHATELET,CS,,
