etablissement,nom,commune,departement,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,n_sans_dominante,ecart_sans_dominante,nom_ambigu
fr-37-276-031,LES SALAISONS REGIONALES,VILLEDOMER,37,18,6,0,-1.0,1.24,inconnue,44.4,10,-1.5,False
fr-29-233-001,GROUPE BIGARD,QUIMPERLE,29,107,14,0,-1.0,0.91,bigard,48.6,55,-1.0,False
fr-61-077-012,COMTE DE BELLOU,CERISE,61,17,2,0,-1.0,1.26,inconnue,76.5,4,,False
fr-72-039-003,RUEL BRUNO / RUEL BRUNO - CHARCUTERIE RUEL-BOULVERT,BONNETABLE,72,45,1,0,-1.0,1.8,charcuterie-ruel,100.0,0,,True
fr-56-091-002,CHARCUTERIES GOURMANDES,JOSSELIN,56,21,9,0,-1.0,1.6,leader-price,52.4,10,-0.5,False
fr-58-079-005,MORVAN CHARCUTERIES SALAISONS,CLAMECY,58,18,5,0,-1.0,1.5,inconnue,66.7,6,,False
fr-29-188-020,PRIMEL GASTRONOMIE,PLOUGASNOU,29,59,18,0,-1.0,0.61,picard,30.5,41,-1.0,False
fr-29-225-001,JEAN HENAFF PRODUCTION / JEAN HENAFF SAS,POULDREUZIC,29,143,11,0,-1.0,1.48,henaff,85.3,21,0.0,True
fr-49-323-032,ELIVIA,VERRIERES-EN-ANJOU,49,62,17,0,-1.0,0.22,auchan,17.7,51,0.0,False
fr-44-190-005,COVI,SAINT-SEBASTIEN-SUR-LOIRE,44,76,30,2,-1.0,0.89,paul-louise,21.1,60,-1.0,False
fr-47-032-001,GROUPE BIGARD,BON-ENCONTRE,47,13,5,0,-1.0,0.22,bigard,61.5,5,,False
fr-49-099-002,CHARAL,CHOLET,49,158,12,1,-1.0,0.18,charal,82.3,28,-2.0,False
fr-62-506-002,LICQUES VOLAILLES - SECRETS VOLAILLES-SECRETS VILLAGE,LICQUES,62,10,2,0,-1.0,1.21,inconnue,90.0,1,,False
fr-67-144-001,MORITZ SA SOC EXPLOIT - LES CHARCUTIERS DU BAN DE ROCHE,PLAINE,67,31,4,0,-1.0,1.7,moritz,54.8,14,-1.0,False
fr-85-222-009,VIF ARGENT - V.I.F. VERY INNOVATIVE FOOD,SAINT-GILLES-CROIX-DE-VIE,85,35,13,0,-1.0,0.8,la-cuisine-d-oceane,42.9,20,-1.0,False
fr-57-463-001,CHARAL,METZ,57,37,4,0,-1.0,0.2,charal,91.9,3,,False
fr-84-029-001,RAYNAL ET ROQUELAURE PROVENCE,CAMARET-SUR-AIGUES,84,77,19,4,-1.0,0.81,zapetti,44.2,43,0.0,False
fr-81-144-022,AOSTE SNC OU A SNC,LESCURE D'ALBIGEOIS,81,29,12,0,-1.0,3.6,cesar-moroni,37.9,18,-0.5,False
fr-83-054-001,MADERN PLATS CUISINES,LA FARLEDE,83,17,8,0,-1.0,0.58,madern,41.2,10,-1.5,False
fr-29-058-020,TIPIAK PLATS CUISINES SURGELES,FOUESNANT,29,16,2,0,-1.0,0.8,picard,81.2,3,,False
fr-28-280-028,COOK INOV,NOGENT-LE-ROTROU,28,10,8,1,-1.0,0.64,weight-watchers,20.0,8,,False
fr-59-225-104,GROUPE BIGARD / GROUPE BIGARD - BIGARD FEIGNIES,FEIGNIES,59,15,4,0,-1.0,0.17,charal,80.0,3,,True
fr-44-131-008,SOCIETE COLLET,PORNIC,44,30,20,0,-1.0,0.78,l-atelier-collet,13.3,26,-1.0,False
fr-47-326-015,"LUCIEN GEORGELIN - ""CONFISERIE LUCIEN GEORGELIN""",VIRAZEIL,47,33,5,0,-1.0,1.6,lucien-georgelin,81.8,6,,False
fr-14-630-043,SAS FRIAL,SAINT-MARTIN-DES-ENTREES,14,65,12,0,-1.0,0.62,picard,46.2,35,0.0,False
fr-14-752-010,ELIVIA,VILLERS-BOCAGE,14,224,17,6,-1.0,0.96,tendre-plus,63.8,81,1.0,False
fr-22-182-001,CELTIGEL,PLELO,22,44,17,0,-1.0,0.7,carrefour,22.7,34,0.0,False
fr-84-007-020,AGIS,AVIGNON,84,103,27,0,-1.0,0.72,carrefour,20.4,82,-1.0,False
fr-11-076-009,SOCIETE RIVIERE,CASTELNAUDARY,11,72,11,0,-1.0,0.77,maison-riviere,73.6,19,-0.5,False
fr-12-202-001,SOULIE RESTAURATION,RODEZ,12,65,20,1,-1.0,0.9,william-saurin,44.6,36,-1.0,False
fr-95-018-022,non apparie au registre,,95,56,2,0,-1.0,1.9,inconnue,85.7,8,,False
fr-95-280-001,non apparie au registre,,95,73,15,0,-1.0,1.8,madrange,31.5,50,-4.0,False
fr-87-187-003,LAREDY,SAINT-YRIEIX-LA-PERCHE,87,32,13,0,-1.0,1.64,comte-de-la-seynie,34.4,21,-1.0,False
fr-29-075-020,KERMAD - KERMAD SA,GUIPAVAS,29,10,2,0,-0.5,0.66,picard,70.0,3,,False
fr-35-136-002,SAVIEL FRANCE,JANZE,35,18,5,0,-0.5,1.69,jean-roze,55.6,8,,False
fr-47-252-001,RAYNAL ET ROQUELAURE,SAINTE-LIVRADE-SUR-LOT,47,38,12,4,-0.5,0.81,marque-repere,21.1,30,-1.0,False
fr-56-017-002,CENTRE ELABORATION DES VIANDES,BIGNAN,56,24,5,7,-0.5,1.0,inconnue,50.0,12,4.0,False
fr-36-231-017,PRODISAL,VELLES,36,12,6,0,-0.5,1.15,merveilles-d-asie,33.3,8,,False
fr-56-094-013,CHARCUTERIE DU BLAVET,KERVIGNAC,56,34,2,0,-0.5,1.8,inconnue,79.4,7,,False
fr-69-259-002,CHARCUTERIE ANSELME SA,VENISSIEUX,69,15,3,0,0.0,1.67,inconnue,80.0,3,,False
fr-76-400-001,DEFIAL NORMIVAL,LUNERAY,76,45,13,1,0.0,1.6,inconnue,51.1,22,0.5,False
fr-72-331-001,BAHIER / SOC DES RILLETTES BAHIER,SCEAUX-SUR-HUISNE,72,169,29,0,0.0,1.4,bahier,29.6,119,0.0,True
fr-79-179-002,GALLIANCE DINDE,MONCOUTANT,79,29,9,0,0.0,0.18,la-nouvelle-agriculture,41.4,17,0.0,False
fr-72-386-002,LUISSIER BORDEAU CHESNEL,YVRE-L'EVEQUE,72,20,3,0,0.0,1.1,bordeau-chesnel,80.0,4,,False
fr-80-025-001,FERME SAINT CHRISTOPHE,ARGOULES,80,15,5,0,0.0,1.37,conserverie-st-christophe,53.3,7,,False
fr-85-215-001,ARRIVE,SAINT-FULGENT,85,113,10,0,0.0,0.18,maitre-coq,69.0,35,0.0,False
fr-12-063-025,TRANCHAGE DE LA JASSE,LA CAVALERIE,12,149,24,0,0.0,3.0,despi,28.9,106,2.0,False
fr-12-056-001,SA PROGRE,BARAQUEVILLE,12,15,8,0,0.0,1.5,les-garibotes,40.0,9,,False
fr-56-109-001,PROCANAR,LAUZACH,56,45,8,0,0.0,0.13,inconnue,40.0,27,0.0,False
fr-56-075-003,non apparie au registre,,56,17,12,0,0.0,0.74,inconnue,17.6,14,0.0,False
fr-72-054-002,LUISSIER BORDEAU CHESNEL,CHAMPAGNE,72,31,6,0,0.0,1.1,bordeau-chesnel,67.7,10,0.0,False
fr-72-080-002,SOCOPA VIANDES,CHERRE,72,142,33,2,0.0,0.85,socopa,39.4,86,0.0,False
fr-72-175-001,LUCHE TRADITION VOLAILLES,LUCHE-PRINGE,72,53,13,3,0.0,0.57,monoprix,39.6,32,1.0,False
fr-56-151-001,LES ATELIERS DU GOUT,NOYAL-PONTIVY,56,17,2,0,0.0,0.85,picard,94.1,1,,False
fr-61-181-001,LES ELEVEURS DE LA CHARENTONNE,GACE,61,30,2,0,0.0,1.27,inconnue,56.7,13,-3.0,False
fr-61-096-020,S N V,RIVES D'ANDAINE,61,35,13,3,0.0,0.15,monoprix,17.1,29,0.0,False
fr-22-067-001,SOCOPA VIANDES,GRACES,22,11,3,0,0.0,0.17,charal,72.7,3,,False
fr-29-236-010,VOLEFI,RIEC-SUR-BELON,29,26,9,1,0.0,0.57,carrefour,34.6,17,0.0,False
fr-53-107-002,LES RILLETTES GORRONNAISES,GORRON,53,17,2,0,0.0,1.6,inconnue,82.4,3,,False
fr-38-051-001,ELIVIA,BOUGE-CHAMBALUD,38,46,12,0,0.0,0.22,carrefour,23.9,35,-1.0,False
fr-64-139-002,LE VIEUX CHENE,BOSDARROS,64,13,2,0,0.0,1.35,le-vieux-chene,92.3,1,,False
fr-69-238-010,FRANCE SALAISONS,SAINT-SYMPHORIEN-SUR-COISE,69,69,24,0,0.0,4.3,carrefour,39.1,42,0.0,False
fr-43-262-001,SALAISONS PHILIS,VIEILLE-BRIOUDE,43,48,5,0,0.0,5.0,inconnue,77.1,11,0.0,False
fr-35-004-002,BRIENT,VAL-COUESNON,35,30,8,0,0.0,1.3,brient,33.3,20,-0.5,False
fr-35-360-005,SOCIETE VITREENNE D'ABATTAGE,VITRE,35,51,6,0,0.0,1.0,jean-roze,51.0,25,1.0,False
fr-35-162-009,SALAISON BIO VALEUR / SOCIETE BIGNON VIANDES,LOUVIGNE-DU-DESERT,35,40,8,0,0.0,1.9,biocoop,77.5,9,,True
fr-01-336-001,non apparie au registre,,1,29,14,1,0.0,4.4,inconnue,24.1,22,1.0,False
fr-01-451-003,MARIE,VIRIAT,1,13,4,0,0.0,0.68,marie,61.5,5,,False
fr-02-617-001,WILLIAM SAURIN PRODUCTION,POUILLY-SUR-SERRE,2,72,20,0,0.0,0.83,panzani,26.4,53,0.0,False
fr-35-152-002,ETABLISSEMENTS CLERMONT,LIFFRE,35,29,4,0,0.0,1.6,clermont,48.3,15,0.0,False
fr-47-091-011,LECHEF,ESTILLAC,47,50,11,0,0.0,0.84,lechef,44.0,28,0.0,False
fr-50-127-004,LE MOULINET - LES CHARCUTERIES DE LA TRAPPE / LES CHARCUTERIES DE LA TRAPPE,SAINTE-MERE-EGLISE,50,11,2,0,0.0,1.57,les-charcuteries-de-la-trappe,63.6,4,,True
fr-50-074-001,LA CHAISERONNE,BRECEY,50,19,8,0,0.0,1.55,les-marmites-d-augustine,31.6,13,0.0,False
