etablissement,departement,insee,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,part_mer_pct,ecart_sans_dominante,regle_30,alerte_mer
fr-18-033-033,18,18033,11,5,1,0.0,0.17,monoprix,63.6,0.0,,sous 30,False
fr-59-032-001,59,59032,11,2,0,0.0,1.5,le-patureur,90.9,0.0,,sous 30,False
fr-56-225-001,56,56225,43,6,0,0.0,0.15,marque-repere,41.9,0.0,0.0,franchie,False
fr-25-357-050,25,25357,33,3,0,0.0,1.76,inconnue,90.9,0.0,,franchie,False
fr-22-364-008,22,22364,63,12,0,0.0,1.2,marque-repere,47.6,0.0,0.0,franchie,False
fr-24-439-004,24,24439,11,3,0,0.0,0.63,inconnue,72.7,0.0,,sous 30,False
fr-24-328-002,24,24328,28,14,0,0.0,1.25,amaury,17.9,0.0,0.0,sous 30,False
fr-29-020-020,29,29020,36,12,0,0.0,0.67,marie,44.4,0.0,0.0,franchie,False
fr-26-088-011,26,26088,15,6,2,0.0,0.69,royal-bernard,40.0,0.0,,sous 30,False
fr-62-865-007,62,62865,36,8,0,0.0,0.79,inconnue,27.8,0.0,-1.0,franchie,False
fr-85-086-001,85,85086,59,19,1,0.0,1.5,cora,15.3,0.0,1.0,franchie,False
fr-85-154-002,85,85154,148,13,0,0.0,0.76,fleury-michon,79.1,0.0,0.0,franchie,False
fr-85-140-001,85,85140,64,3,0,0.0,1.8,fleury-michon,96.9,0.0,,franchie,False
fr-56-261-001,56,56261,82,16,0,0.0,1.19,pere-dodu,67.1,0.0,1.0,franchie,False
fr-57-032-001,57,57032,170,37,0,0.0,4.0,carrefour,22.4,0.0,1.0,franchie,False
fr-13-083-001,13,13083,33,9,0,0.0,1.3,bigard,48.5,0.0,0.0,franchie,False
fr-14-431-022,14,14431,13,11,0,0.0,0.72,carrefour,15.4,0.0,0.0,sous 30,False
fr-85-051-003,85,85051,116,3,32,0.0,1.8,fleury-michon,94.8,0.0,,franchie,False
fr-85-059-004,85,85059,130,16,0,0.0,1.9,bioporc,32.3,0.0,0.0,franchie,False
fr-84-054-001,84,84054,23,9,4,0.0,0.8,socopa,47.8,0.0,0.0,sous 30,False
fr-22-136-007,22,22136,48,13,0,0.0,2.0,carrefour,33.3,0.0,0.0,franchie,False
fr-19-073-002,19,19073,12,1,0,0.0,0.17,charal,100.0,0.0,,sous 30,False
fr-10-297-001,10,10297,39,16,0,0.0,1.9,inconnue,38.5,0.0,2.0,franchie,False
fr-14-514-023,14,14514,13,1,0,0.0,1.3,saveur-d-auge,100.0,0.0,,sous 30,False
fr-87-085-003,87,87085,120,23,0,0.0,1.6,madrange,50.0,0.0,0.5,franchie,False
fr-13-074-001,13,13074,53,16,0,0.0,2.0,inconnue,43.4,0.0,-1.0,franchie,False
fr-18-159-001,18,18159,21,7,0,0.0,1.6,avon-ragobert,33.3,0.0,0.5,sous 30,False
fr-88-218-001,88,88218,12,4,12,0.0,1.84,oriental-viandes,66.7,0.0,,sous 30,False
fr-29-125-020,29,29125,23,2,0,0.0,1.58,inconnue,52.2,0.0,1.0,sous 30,False
fr-35-124-007,35,35124,15,3,0,0.0,1.6,inconnue,66.7,0.0,,sous 30,False
fr-07-338-001,07,07338,15,8,0,0.0,4.4,aoste,40.0,0.0,,sous 30,False
fr-01-053-015,01,01053,35,11,0,0.0,2.1,inconnue,40.0,0.0,1.0,franchie,False
fr-59-183-003,59,59183,10,4,0,0.5,0.8,casino,50.0,0.0,,sous 30,False
fr-79-049-006,79,79049,10,3,0,0.5,1.7,charcuterie-daniel-bernier,40.0,0.0,,sous 30,False
fr-29-174-020,29,29174,21,5,0,0.5,1.1,maison-larzul,47.6,0.0,-10.0,sous 30,False
fr-24-053-001,24,24053,26,4,1,0.5,0.84,inconnue,76.9,0.0,,sous 30,False
fr-22-093-001,22,22093,235,45,1,1.0,1.6,madrange,20.0,0.0,1.0,franchie,False
fr-22-225-001,22,22225,138,30,0,1.0,1.6,stephan,47.1,0.0,0.0,franchie,False
fr-14-069-022,14,14069,13,9,0,1.0,0.7,carrefour,30.8,0.0,,sous 30,False
fr-87-001-001,87,87001,61,23,0,1.0,1.5,arnaud,24.6,0.0,0.0,franchie,False
fr-81-124-012,81,81124,44,7,0,1.0,4.45,maison-milhau,75.0,0.0,2.0,franchie,False
fr-81-083-001,81,81083,27,10,0,1.0,4.6,montagne-noire,44.4,0.0,1.0,sous 30,False
fr-12-301-002,12,12301,26,5,0,1.0,1.9,inconnue,46.2,0.0,1.0,sous 30,False
fr-12-300-005,12,12300,30,15,0,1.0,4.87,auchan,23.3,0.0,1.0,franchie,False
fr-81-003-003,81,81003,19,4,0,1.0,1.7,inconnue,63.2,0.0,,sous 30,False
fr-85-233-001,85,85233,47,19,0,1.0,1.2,maitre-coq,42.6,0.0,1.0,franchie,False
fr-85-065-001,85,85065,62,15,0,1.0,1.15,maitre-coq,48.4,0.0,0.0,franchie,False
fr-29-004-023,29,29004,222,16,0,1.0,1.9,tallec,40.5,0.0,1.0,franchie,False
fr-58-199-001,58,58199,16,3,0,1.0,1.6,terrines-du-morvan,81.2,0.0,,sous 30,False
fr-59-526-002,59,59526,14,6,0,1.0,1.76,inconnue,35.7,0.0,,sous 30,False
fr-25-346-020,25,25346,12,4,0,1.0,2.4,inconnue,41.7,0.0,,sous 30,False
fr-57-160-001,57,57160,17,2,0,1.0,2.0,charculor,82.4,0.0,,sous 30,False
fr-29-051-020,29,29051,50,15,0,1.0,2.1,madrange,28.0,0.0,1.5,franchie,False
fr-22-321-008,22,22321,36,15,4,1.0,1.3,inconnue,44.4,0.0,0.0,franchie,False
fr-24-520-004,24,24520,12,3,0,1.0,1.65,inconnue,75.0,0.0,,sous 30,False
fr-47-159-001,47,47159,16,3,0,1.0,1.52,maison-torres,87.5,0.0,,sous 30,False
fr-51-649-002,51,51649,38,14,1,1.0,0.95,carrefour,21.1,0.0,1.0,franchie,False
fr-55-545-002,55,55545,115,25,6,1.0,4.33,berni,34.8,0.0,2.0,franchie,False
fr-44-014-001,44,44014,56,22,1,1.0,1.2,pere-dodu,26.8,0.0,1.0,franchie,False
fr-44-102-002,44,44102,12,2,0,1.0,2.1,inconnue,83.3,0.0,,sous 30,False
fr-69-238-001,69,69238,13,5,0,1.0,4.5,aoste,30.8,0.0,,sous 30,False
fr-64-161-002,64,64161,11,4,0,1.0,1.0,labeyrie,63.6,0.0,,sous 30,False
fr-56-078-001,56,56078,14,7,1,1.0,0.2,jean-roze,50.0,0.0,,sous 30,False
fr-56-033-008,56,56033,34,9,0,1.0,1.8,bonval,50.0,0.0,2.0,franchie,False
fr-65-375-001,65,65375,50,22,0,1.0,1.49,jean-brunet,24.0,0.0,1.0,franchie,False
fr-62-907-002,62,62907,45,5,0,1.0,3.6,gourmets-de-l-artois,57.8,0.0,1.0,franchie,False
fr-49-239-001,49,49239,41,6,0,1.0,1.9,saveurs-des-mauges,46.3,0.0,0.5,franchie,False
fr-56-010-001,56,56010,125,31,0,1.0,2.1,carrefour,20.8,0.0,1.0,franchie,False
fr-69-043-005,69,69043,12,2,0,1.0,1.6,randy,83.3,0.0,,sous 30,False
fr-72-090-007,72,72090,43,6,0,1.0,1.5,maison-prunier,53.5,0.0,1.0,franchie,False
fr-60-463-013,60,60463,13,8,0,1.0,4.3,cora,38.5,0.0,,sous 30,False
fr-72-132-002,72,72132,33,8,0,1.0,1.4,carrefour,51.5,0.0,1.0,franchie,False
fr-38-193-001,38,38193,10,2,0,1.0,1.87,inconnue,80.0,0.0,,sous 30,False
fr-71-350-001,71,71350,43,18,0,1.0,4.8,salaisons-du-maconnais,30.2,0.0,1.0,franchie,False
fr-71-076-001,71,71076,34,8,0,1.0,1.8,inconnue,64.7,0.0,1.0,franchie,False
fr-67-348-002,67,67348,88,20,0,1.0,1.9,stoeffler,59.1,0.0,1.5,franchie,False
fr-42-165-006,42,42165,70,22,0,1.0,3.87,inconnue,14.3,0.0,1.5,franchie,False
fr-42-200-001,42,42200,16,4,0,1.0,4.7,le-batistou,50.0,0.0,,sous 30,False
fr-73-006-003,73,73006,20,12,0,1.0,2.09,carrefour,20.0,0.0,1.0,sous 30,False
fr-41-106-001,41,41106,15,8,0,1.0,0.7,kitchen-diet,20.0,0.0,1.0,sous 30,False
fr-73-215-001,73,73215,63,8,0,1.0,4.5,galibier,41.3,0.0,0.0,franchie,False
fr-72-264-002,72,72264,719,45,0,1.0,1.3,le-gaulois,56.9,0.0,1.0,franchie,False
fr-76-159-001,76,76159,31,10,0,1.0,4.88,roches-blanches,45.2,0.0,1.0,franchie,False
fr-74-042-001,74,74042,13,5,5,1.0,4.3,inconnue,69.2,0.0,,sous 30,False
