fichier,url,candidat_viande
SPA5_ENRPINTERMED.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRPINTERMED.txt,False
SPA5_ENRPRODVETER.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRPRODVETER.txt,False
SPA5_ENRSANGEQUID.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRSANGEQUID.txt,False
SPA5_ENRSANGMEDIC.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRSANGMEDIC.txt,False
SPA5_ENRTRANSPORT.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRTRANSPORT.txt,False
SPA5_ENRTROPHAUTR.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRTROPHAUTR.txt,False
SPA5_ENRUSINOLEOC.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRUSINOLEOC.txt,False
SPA6_AGRETABCOMBU.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRETABCOMBU.txt,False
SPA6_AGRETABENTPD.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRETABENTPD.txt,False
SPA6_AGRETABENTSP.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRETABENTSP.txt,False
SPA6_AGRETABMANIP.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRETABMANIP.txt,False
SPA6_AGRUSINBIOGA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSINBIOGA.txt,False
SPA6_AGRUSINCOINC.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSINCOINC.txt,False
SPA6_AGRUSINCOMPO.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSINCOMPO.txt,False
SPA6_AGRUSINENGRA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSINENGRA.txt,False
SPA6_AGRUSININCIN.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSININCIN.txt,False
SPA6_AGRUSINPALIA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSINPALIA.txt,False
SPA6_AGRUSINTRAC1.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSINTRAC1.txt,False
