agrement,nom,n_noms,commune,cp,n_siret,listes
15.028.001,MAISON BENECH,1,CARLAT,15130,1,2
15.030.001,LE CAYROLAIS,1,CAYROLS,15290,1,1
15.030.002,RODES BENOIT,1,CAYROLS,15290,1,1
15.035.104,EARL DES TILLEULS,1,CHALINARGUES,15170,1,1
15.054.003,SOCIETE PALLUT,1,CONDAT,15190,1,3
15.083.003,BIGEON MICHELE,1,JUSSAC,15250,1,2
15.090.004,SARL TALON,1,LAFEUILLADE-EN-VEZIE,15130,1,3
15.094.001,SARL BRUNHES ALAIN,1,LAROQUEBROU,15150,1,2
15.094.002,LE ROQUET,1,LAROQUEBROU,15150,1,1
15.094.003,BOUCHERIE BRUNHES,1,LAROQUEBROU,15150,1,1
15.102.001,AULLULO,1,BOURGANEUF,23400,1,1
15.122.006,GAEC MALROUX PERE ET FILS / GRIFFEUILLE CECILE,2,MAURS,15600,2,3
15.138.004,SARL RIGAL,1,LA CHAPELLE D'ALAGNON,15300,1,1
15.140.001,LA FERME DU CANTAL,1,NAUCELLES,15250,1,3
15.140.002,TERRITOIRE VIANDE,1,NAUCELLES,15250,1,1
15.141.001,MARCEL CHARRADE ET COMPAGNIE,1,NEUSSARGUES EN PINATELLE,15170,1,1
15.141.002,REGIE MUNICIPALE ABATTOIR NEUSSARGUES,1,NEUSSARGUES-MOISSAC,15170,1,2
15.147.001,SALAISONS LABORIE ET FILS / SARL SALAISONS LABORIE ET FILS,2,PARLAN,15290,1,2
15.152.002,DUTREVIS ALEXANDRA - L'AUVERGNE GOURMANDE / L'AUVERGNE GOURMANDE,2,PIERREFORT,15230,1,3
15.152.005,LES VIANDES DU PERE JOFFROIS,1,PIERREFORT,15230,1,3
15.154.051,BOUCHERIE CHARCUTERIE CAMBON,1,POLMINHAC,15800,1,1
15.157.001,EARL ROUQUET,1,QUEZAC,15600,1,1
15.168.051,MARGERIDE VIANDES VOLAILLES,1,RUYNES-EN-MARGERIDE,15320,1,3
15.174.012,EARL AL PAIS / GAEC AL PAIS,2,SAINT-BONNET-DE-SALERS,15140,2,3
15.181.001,GAEC BOUDET,1,SAINT-CONSTANT-FOURNOULES,15600,1,4
15.181.002,BOUCHERIE CHARCUTERIE VIEYRES FILS,1,SAINT-CONSTANT-FOURNOULES,15600,1,1
15.187.004,DU PRODUCTEUR A L'ASSIETTE,1,SAINT-FLOUR,15100,1,1
15.187.007,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DE SAINT FLOUR - LYCEE PROFESSIONNEL AGRICOLE LOUIS MALLET / LYCEE PROF AGRICOLE LOUIS MALLET,2,SAINT-FLOUR,15100,1,3
15.187.010,ARTIMAT DISTRIBUTION,1,ROFFIAC,15100,1,1
15.187.012,UNIPLANEZE,1,SAINT-FLOUR,15100,1,1
15.187.015,POMONA - POMONA TERREAZUR,1,SAINT-FLOUR,15100,1,1
15.188.107,FLOURDIS,1,SAINT-GEORGES,15100,1,2
15.191.001,SARL LA FERME DU BRUEL,1,SAINT-ILLIDE,15310,1,3
15.196.001,LES FROMAGERIES OCCITANES,1,SAINT-MAMET-LA-SALVETAT,15220,1,1
15.196.051,GRIMAL PERE & FILS,1,SAINT-MAMET-LA-SALVETAT,15220,1,3
15.212.001,SARL VANDER ET FILS,1,SAINT-SANTIN-DE-MAURS,15600,1,2
15.232.002,LA FERME DES COCHONS GOURMANDS / LA FERME DES COCHONS GOURMANDS - GAEC RISPAL S&O,2,TANAVELLE,15100,1,2
15.243.052,SARL BOUCHERIE BORNES,1,TRIZAC,15400,1,1
15.265.001,SUPER U / YDES DISTRIBUTION - SUPER U,2,YDES,15210,1,2
15.267.001,"PORCENTRE - FABREGUES, LA FABRIQUE TRAITEUR",1,YTRAC,15130,1,1
15.267.002,SAS LA VIANDE-BIO,1,YTRAC,15130,1,1
15.268.001,MAS S.A.S.,1,LE ROUGET-PERS,15290,1,4
16.015.015,SODIPORC,1,ANGOULEME,16000,1,3
16.015.016,SOFRILOG OUEST,1,ANGOULEME,16000,1,1
16.015.125,SLC DISTRIBUTION - PROMOCASH,1,ANGOULEME,16000,1,1
16.015.179,COMMUNE D ANGOULEME - MAIRIE,1,ANGOULEME,16000,1,1
16.015.605,METRO FRANCE,1,ANGOULEME,16000,1,1
16.015.617,COOPERATIVE DES BOUCHERS DE LA CHARENTE,1,ANGOULEME,16000,1,1
16.015.650,SARL CHARCUTERIE DOYEN,1,ANGOULEME,16000,1,3
16.028.063,FORNEL FRERES,1,BARBEZIEUX-SAINT-HILAIRE,16300,1,1
16.062.003,GOBIN JEROME,1,BRIE-SOUS-BARBEZIEUX,16300,1,1
16.064.012,SARL BOUCHERIE DE L'EGLISE,1,BRIGUEUIL,16420,1,1
16.073.037,MARC VIANDES,1,CHALAIS,16210,1,1
16.073.047,CTRE ABATTAGE CHALAIS SUD CHARENTE,1,CHALAIS,16210,1,1
