etablissement,n,n_marques,n_halal,ecart_median,marque_dominante,part_dominante_pct,ecart_sans_dominante,n_sans_dominante,regle_30
fr-60-463-013,13,8,0,2.0,cora,38.5,,8,sous 30
fr-56-246-008,156,15,0,2.0,monique-ranou,11.5,2.0,138,franchie
fr-56-174-003,10,8,1,2.0,volae,30.0,,7,sous 30
fr-61-169-002,40,3,1,2.0,charal,90.0,,4,franchie
fr-69-135-001,27,11,21,2.0,medina-halal,33.3,3.0,18,sous 30
fr-69-204-003,12,4,0,2.0,lunchbox,41.7,,7,sous 30
fr-56-081-001,20,4,1,2.0,l-etal-du-volailler,65.0,,7,sous 30
fr-55-545-002,115,24,6,2.0,berni,34.8,2.0,75,franchie
fr-43-211-009,55,12,0,2.0,monique-ranou,34.5,3.5,36,franchie
fr-44-180-004,170,35,0,2.0,auchan,21.2,2.0,134,franchie
fr-56-017-001,45,8,0,2.0,ronsard,24.4,1.5,34,franchie
fr-71-350-001,43,17,0,2.0,salaisons-du-maconnais,30.2,2.0,30,franchie
fr-74-104-001,17,2,0,2.0,mont-charvin,11.8,2.0,15,sous 30
fr-76-159-001,31,10,0,2.0,roches-blanches,45.2,2.0,17,franchie
fr-35-068-002,23,5,1,2.0,tendriade,69.6,,7,sous 30
fr-74-042-001,13,4,5,2.0,aldi-einkauf-gmbh-compagnie-ohg,7.7,2.0,12,sous 30
fr-42-129-001,53,20,0,2.0,justin-bridou,15.1,2.0,45,franchie
fr-81-083-001,27,10,0,2.0,montagne-noire,44.4,2.0,15,sous 30
fr-42-200-001,16,3,0,2.0,le-batistou,50.0,,8,sous 30
fr-42-170-001,12,8,0,2.0,carrefour,33.3,,8,sous 30
fr-25-411-050,14,7,0,2.0,morteau-saucisse,21.4,2.0,11,sous 30
fr-22-272-028,74,10,0,2.0,u,23.0,2.0,57,franchie
fr-85-215-003,39,15,0,2.0,jean-routhiau,10.3,2.0,35,franchie
fr-19-275-008,10,3,0,2.0,auvernou,60.0,,4,sous 30
be-b912,38,5,2,2.0,isali,71.1,2.0,11,franchie
fr-32-079-030,15,7,0,2.0,itineraire-de-nos-regions,20.0,1.5,12,sous 30
fr-25-039-050,13,9,0,2.0,jean-louis-amiotte,15.4,2.0,11,sous 30
fr-34-090-002,17,2,0,2.0,les-braserades,64.7,,6,sous 30
fr-84-106-001,12,1,0,2.0,gueze,75.0,,0,sous 30
fr-69-201-002,16,3,0,2.5,michel-ogier,68.8,,5,sous 30
fr-29-160-020,20,2,0,2.5,bredial,95.0,,1,sous 30
fr-29-018-020,25,15,0,3.0,dia,20.0,1.0,20,sous 30
fr-24-034-001,17,3,0,3.0,domaine-de-gammareix,58.8,,7,sous 30
fr-25-240-005,14,1,0,3.0,salaison-renaudot,7.1,,0,sous 30
fr-41-238-001,46,8,5,3.0,l-etal-du-volailler,56.5,3.5,20,franchie
fr-39-198-004,39,13,0,3.0,claviere,43.6,2.0,22,franchie
fr-08-048-002,11,6,0,3.0,demoizet,36.4,,7,sous 30
