code,nom,marque,produit,espece,bras,ns,grade,sel,proteines,regle
3180050136533,Filet de poulet nature,,blanc_de_poulet,poulet,temoin,3.0,c,1.9,22.3,decoupe_crue
3180050136540,Filet de poulet mariné aux épices provençales,,blanc_de_poulet,poulet,temoin,3.0,c,2.0,23.0,decoupe_crue
3222476444264,Aiguillettes de poulet rôties,Casino,blanc_de_poulet,poulet,temoin,1.0,b,1.6,29.0,decoupe_crue
3235660890334,Émincés de filets de poulet,,blanc_de_poulet,poulet,temoin,1.0,b,1.5,24.0,decoupe_crue
2860119026500,Filet de poulet,"Marque Repère, Volandrie",blanc_de_poulet,poulet,temoin,-1.0,a,1.1,21.0,decoupe_crue
2860129036933,Escalopes de dinde,"Marque Repère, Volandry",blanc_de_poulet,dinde,temoin,-1.0,a,1.2,23.0,decoupe_crue
2860181019486,Escalope de dinde,Volandrie,blanc_de_poulet,dinde,temoin,-1.0,a,1.1,23.0,decoupe_crue
2900541001109,Blanc de dinde au 3 poivre,,blanc_de_poulet,dinde,halal,18.0,d,3.39,15.6,decoupe_crue
2953533905305,Filet de poulet roti,Le Gaulois,blanc_de_poulet,poulet,temoin,1.0,b,1.4,24.0,decoupe_crue
3222477765061,Aiguillettes de poulet,Casino,blanc_de_poulet,poulet,temoin,1.0,b,1.6,29.0,decoupe_crue
3230890007798,2 filets de poulet rôti,Maître CoQ,blanc_de_poulet,poulet,temoin,1.0,b,1.4,24.0,decoupe_crue
3250391424474,ROTI DE FILET DE POULET CUIT 450g,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.3,17.0,decoupe_crue
3250391471379,Rôti de filet de poulet cuit 450g GRM,"Nett, Netto",blanc_de_poulet,poulet,temoin,3.0,c,1.9,18.0,decoupe_crue
3250391532346,Escalopes extra-fines de Dinde Marinade Tomate & Basilic,Volaé,blanc_de_poulet,dinde,temoin,-1.0,a,1.04,24.0,decoupe_crue
3250391532384,Aiguillettes de Poulet Marinade Provençale,Volaé,blanc_de_poulet,poulet,temoin,-1.0,a,1.12,21.1,decoupe_crue
3250393003660,Filet de poulet rotie,Volaé,blanc_de_poulet,poulet,temoin,1.0,b,1.26,22.3,decoupe_crue
3256220266192,Émincés de poulet,U,blanc_de_poulet,poulet,temoin,-1.0,a,1.2,21.0,decoupe_crue
3256225722563,Emincés de filet de poulet a la provençale,U,blanc_de_poulet,poulet,temoin,0.0,a,1.4,25.0,decoupe_crue
3256225722570,"Filet de Poulet rôti au four - x2 tranches, 150g",U,blanc_de_poulet,poulet,temoin,-1.0,a,1.2,25.0,decoupe_crue
3256225722631,Aiguillettes de poulet rôties au four - 160g,U,blanc_de_poulet,poulet,temoin,1.0,b,1.5,27.0,decoupe_crue
