rang,rang_min,rang_max,marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal,profil
187,15,373,le-pre-aux-canards,21,0.0,-2.0,2.0,sous 30,6,non,hors bras halal
188,22,346,le-porc-francais,88,0.0,-1.0,1.0,franchie,11,non,hors bras halal
189,46,382,les-eleveurs-de-la-charentonne,28,0.0,-0.5,3.0,sous 30,15,non,hors bras halal
190,15,346,terrines-du-morvan,52,0.0,-2.0,1.0,franchie,13,non,hors bras halal
191,5,382,denner,16,0.0,-9.0,3.0,sous 30,9,non,hors bras halal
192,22,346,deluxe,133,0.0,-1.0,1.0,franchie,22,non,hors bras halal
193,10,373,agerria,16,0.0,-4.0,2.0,sous 30,7,non,hors bras halal
194,46,346,socopa,224,0.0,0.0,1.0,franchie,17,oui,gamme halal minoritaire
195,15,373,secret-d-eleveurs,25,0.0,-2.0,2.0,sous 30,9,non,hors bras halal
196,22,373,alain-martin,22,0.0,-1.0,2.5,sous 30,11,non,hors bras halal
197,22,349,wiltmann,18,0.0,-1.5,1.5,sous 30,5,non,hors bras halal
198,46,301,tallec,253,0.0,0.0,0.0,franchie,13,non,hors bras halal
199,22,346,sudreau,24,0.0,-1.0,1.0,sous 30,6,non,hors bras halal
200,46,373,tendre-et-plus,39,0.0,0.0,2.0,franchie,11,non,hors bras halal
201,22,301,saveur-d-auge,51,0.0,-1.0,0.0,franchie,12,non,hors bras halal
202,22,346,daunat,27,0.0,-1.0,1.0,sous 30,5,non,hors bras halal
203,15,349,st-clement,18,0.0,-2.5,1.5,sous 30,10,non,hors bras halal
204,46,346,cora,448,0.0,0.0,1.0,franchie,43,non,hors bras halal
205,15,346,corril,61,0.0,-2.0,1.0,franchie,11,non,hors bras halal
206,22,373,delhaize,105,0.0,-1.0,2.0,franchie,25,non,hors bras halal
207,22,373,la-cuisine-des-saveurs,22,0.5,-1.5,2.0,sous 30,8,non,hors bras halal
208,46,391,feyel,28,0.5,0.0,6.0,sous 30,8,non,hors bras halal
209,46,373,leclerc,86,0.5,0.0,2.0,franchie,24,non,hors bras halal
210,46,373,baton-rouge,16,0.5,0.0,2.0,sous 30,9,non,hors bras halal
211,22,382,zentz,22,0.5,-1.0,3.0,sous 30,5,non,hors bras halal
212,22,398,fratelli-beretta,30,0.5,-1.5,13.5,franchie,7,non,hors bras halal
213,46,373,le-bois-jumel,21,1.0,0.0,2.0,sous 30,7,non,hors bras halal
214,15,382,lartigue,17,1.0,-2.0,3.0,sous 30,10,non,hors bras halal
215,15,382,itineraire-de-nos-regions,29,1.0,-2.0,3.0,sous 30,11,non,hors bras halal
216,107,373,isali,41,1.0,1.0,2.0,franchie,5,oui,gamme halal marginale (< 5 produits)
217,107,373,petit-prix,24,1.0,1.0,2.0,sous 30,8,non,hors bras halal
218,22,346,la-grange,17,1.0,-1.0,1.0,sous 30,7,non,hors bras halal
219,46,373,jean-caby,44,1.0,0.0,2.0,franchie,7,non,hors bras halal
220,46,346,jean-floc-h,78,1.0,0.0,1.0,franchie,14,non,hors bras halal
221,46,346,andre-loussouarn,32,1.0,0.0,1.0,franchie,9,non,hors bras halal
222,46,382,orocbat,35,1.0,0.0,3.0,franchie,10,non,hors bras halal
223,15,385,hiruak,122,1.0,-2.0,4.5,franchie,9,non,hors bras halal
224,46,346,grand-jury,88,1.0,0.0,1.0,franchie,25,non,hors bras halal
225,46,373,le-cesarin,28,1.0,0.0,2.0,sous 30,3,non,hors bras halal
226,46,385,les-braserades,53,1.0,0.0,4.0,franchie,9,non,hors bras halal
227,10,398,noel,31,1.0,-4.0,14.0,franchie,7,non,hors bras halal
228,46,373,bahier,125,1.0,0.0,2.0,franchie,13,non,hors bras halal
229,15,373,bofrost,24,1.0,-2.0,2.0,sous 30,10,non,hors bras halal
230,22,395,tulip,26,1.0,-1.0,10.0,sous 30,9,oui,gamme halal marginale (< 5 produits)
231,46,398,treo,23,1.0,0.0,15.0,sous 30,8,non,hors bras halal
232,22,390,tesco,32,1.0,-1.5,5.0,franchie,16,non,hors bras halal
233,46,390,top-budget,44,1.0,0.0,5.0,franchie,18,non,hors bras halal
234,46,385,chef-select,39,1.0,0.0,4.0,franchie,10,non,hors bras halal
235,46,373,coop,54,1.0,-0.5,2.0,franchie,18,non,hors bras halal
236,107,373,cochonou,71,1.0,1.0,2.0,franchie,6,non,hors bras halal
237,107,373,toque-du-chef,126,1.0,1.0,2.0,franchie,20,non,hors bras halal
238,107,373,roches-blanches,39,1.0,1.0,2.0,franchie,4,non,hors bras halal
239,46,346,casa-ramon,43,1.0,0.0,1.0,franchie,8,oui,gamme halal marginale (< 5 produits)
240,46,390,charcupac,35,1.0,0.0,5.0,franchie,7,non,hors bras halal
241,107,382,charculor,39,1.0,1.0,3.0,franchie,13,non,hors bras halal
242,107,373,henri-raffin,79,1.0,1.0,2.0,franchie,13,non,hors bras halal
243,107,373,stoeffler,77,1.0,1.0,2.0,franchie,11,non,hors bras halal
244,15,390,delifin,18,1.0,-2.0,5.0,sous 30,9,non,hors bras halal
245,46,382,maison-papillon,17,1.0,0.0,3.0,sous 30,5,non,hors bras halal
246,107,385,monoprix-gourmet,42,1.0,1.0,4.0,franchie,13,non,hors bras halal
247,107,373,arnaud,37,1.0,1.0,2.0,franchie,7,non,hors bras halal
248,46,382,mix,21,1.0,0.0,3.0,sous 30,4,non,hors bras halal
249,46,390,maison-montfort,84,1.0,0.0,5.0,franchie,5,non,hors bras halal
250,46,373,lechef,70,1.0,0.0,2.0,franchie,16,non,hors bras halal
251,46,346,leader-price,670,1.0,0.0,1.0,franchie,44,oui,gamme halal marginale (< 5 produits)
252,46,373,prix-mini,61,1.0,0.0,2.0,franchie,23,non,hors bras halal
253,15,382,qualite-traiteur,18,1.0,-2.0,3.0,sous 30,5,non,hors bras halal
254,46,385,hod-lavan,23,1.0,0.0,4.0,sous 30,9,non,hors bras halal
255,46,346,ducs-de-gascogne,78,1.0,0.0,1.0,franchie,14,non,hors bras halal
256,107,349,louis-auvergne,24,1.0,1.0,1.5,sous 30,3,non,hors bras halal
257,101,373,maison-prunier,68,1.0,0.5,2.0,franchie,14,non,hors bras halal
258,46,373,agis,71,1.0,0.0,2.0,franchie,12,non,hors bras halal
259,101,382,aia,88,1.0,0.5,3.012,franchie,15,oui,gamme halal minoritaire
260,46,382,yarden,36,1.0,0.0,3.012,franchie,15,non,hors bras halal
261,46,373,despi,141,1.0,0.0,2.0,franchie,15,non,hors bras halal
262,101,373,sans-marque,134,1.0,0.5,2.0,franchie,34,oui,gamme halal minoritaire
263,46,373,ajinomoto,17,1.0,0.0,2.0,sous 30,6,non,hors bras halal
264,15,373,saveur-passion,33,1.0,-2.025,2.0,franchie,10,non,hors bras halal
265,107,346,saveurs-de-nos-regions,148,1.0,1.0,1.0,franchie,12,non,hors bras halal
266,46,382,maison-occitane,24,1.5,0.0,3.0,sous 30,9,non,hors bras halal
267,46,385,mainjolle,38,1.5,0.0,4.0,franchie,5,non,hors bras halal
268,46,385,itineraire-des-saveurs,74,1.5,0.0,4.0,franchie,17,non,hors bras halal
269,46,391,winny,27,2.0,0.0,7.0,sous 30,14,non,hors bras halal
270,22,382,bredial,21,2.0,-1.0,3.0,sous 30,4,non,hors bras halal
271,22,391,tous-les-jours,29,2.0,-1.0,7.0,sous 30,17,non,hors bras halal
272,107,390,bell,61,2.0,1.0,5.0,franchie,12,non,hors bras halal
273,101,382,biraben,58,2.0,0.5,3.0,franchie,18,non,hors bras halal
274,46,385,tlj,25,2.0,0.0,4.0,sous 30,10,non,hors bras halal
275,46,385,michel-ogier,15,2.0,0.0,4.0,sous 30,3,non,hors bras halal
276,46,382,maison-tino,18,2.0,0.0,3.0,sous 30,6,non,hors bras halal
277,107,390,mossieur-polette,18,2.0,1.0,5.0,sous 30,7,non,hors bras halal
278,22,382,metro-chef,37,2.0,-1.0,3.0,franchie,17,non,hors bras halal
279,170,382,metzger-muller,31,2.0,2.0,3.0,franchie,11,non,hors bras halal
280,170,395,montagne-noire,81,2.0,2.0,10.0,franchie,6,non,hors bras halal
281,170,382,auvernou,17,2.0,2.0,3.0,sous 30,2,non,hors bras halal
282,170,373,baton-de-berger,17,2.0,2.0,2.0,sous 30,2,non,hors bras halal
283,107,382,au-fume-vosgien,54,2.0,1.0,3.0,franchie,7,non,hors bras halal
284,107,373,berni,66,2.0,1.0,2.5,franchie,13,oui,gamme halal marginale (< 5 produits)
285,46,382,lou-gascoun,26,2.0,0.0,3.0,sous 30,9,non,hors bras halal
286,22,373,les-garibotes,18,2.0,-1.0,2.0,sous 30,8,non,hors bras halal
287,22,373,le-revelois,31,2.0,-1.0,2.0,franchie,12,non,hors bras halal
288,170,373,le-batistou,40,2.0,2.0,2.0,franchie,4,non,hors bras halal
289,46,395,oberti,64,2.0,0.0,10.0,franchie,9,non,hors bras halal
290,46,385,patrimoine-gourmand,39,2.0,0.0,4.0,franchie,14,non,hors bras halal
291,46,397,la-jasse,38,2.0,0.0,12.0,franchie,5,non,hors bras halal
292,170,373,jean-brunet,94,2.0,2.0,2.512,franchie,13,non,hors bras halal
293,46,391,maison-larzul,36,2.0,-0.5,6.0,franchie,11,non,hors bras halal
294,170,397,maison-milhau,83,2.0,2.0,12.0,franchie,7,non,hors bras halal
295,46,382,maistres-occitans,41,2.0,0.0,3.0,franchie,8,non,hors bras halal
296,107,382,maison-torres,62,2.0,1.0,3.0,franchie,11,non,hors bras halal
297,107,382,pierre-schmidt,43,2.0,1.0,3.0,franchie,12,non,hors bras halal
298,170,373,salaisons-du-maconnais,21,2.0,2.0,2.0,sous 30,3,non,hors bras halal
299,170,373,keesbo,17,2.0,2.0,2.0,sous 30,5,non,hors bras halal
