etablissement,n_produits,n_marques,n_halal,n_temoin
fr-47-159-001,16,3,0,16
fr-53-097-001,43,3,0,43
fr-69-027-063,52,3,0,52
fr-66-172-001,51,3,0,51
fr-67-144-001,31,3,0,31
fr-59-225-104,15,3,0,15
fr-61-169-002,42,3,1,41
fr-80-751-001,10,3,0,10
fr-32-107-030,11,3,0,11
fr-72-386-002,20,3,0,20
fr-42-200-001,16,3,0,16
fr-38-336-001,10,3,0,10
fr-62-767-005,130,3,0,131
fr-24-439-004,11,2,0,11
it-68-l,13,2,0,13
fr-85-051-003,117,2,32,85
it-1157-l,10,2,0,11
fr-01-405-004,25,2,0,25
fr-88-470-033,14,2,0,14
it-0-851-m,11,2,3,13
fr-56-151-001,18,2,0,18
it-1321-l,11,2,0,11
es-10-01672-mu,14,2,0,14
it-d627x,13,2,0,13
de-by-10294,10,2,0,10
fr-85-140-001,64,2,0,64
fr-22-277-004,13,2,12,1
fr-29-058-020,16,2,0,16
fr-67-226-002,13,2,0,13
fr-61-181-001,35,2,0,35
fr-85-082-005,13,2,0,13
de-ni-10021,11,2,0,11
fr-35-124-007,15,2,0,15
fr-74-104-001,17,2,0,17
fr-35-238-019,58,2,0,58
fr-34-090-002,18,2,0,18
fr-79-049-006,11,2,0,11
fr-24-520-004,12,2,0,12
fr-26-337-021,11,2,1,10
fr-29-160-020,20,2,0,20
fr-68-066-003,17,2,0,17
fr-67-218-001,100,2,0,101
fr-67-180-007,12,2,0,12
fr-65-452-001,15,2,0,15
fr-69-043-005,12,2,0,12
fr-25-357-050,33,2,0,33
fr-59-032-001,12,2,0,12
fr-58-199-001,17,2,0,17
fr-69-259-002,15,2,0,15
fr-43-177-003,27,2,0,27
fr-42-305-003,22,2,0,22
fr-33-036-007,34,2,0,34
fr-29-075-020,11,2,0,11
fr-43-268-017,10,2,0,10
fr-88-465-001,14,1,0,14
fr-95-018-022,56,1,0,56
fr-57-160-001,17,1,0,17
fr-56-186-004,11,1,0,11
it-2008-s,12,1,0,20
fr-89-013-001,20,1,20,0
fr-56-010-003,12,1,0,12
fr-53-121-001,12,1,1,11
fr-56-094-013,34,1,0,34
fr-53-107-002,17,1,0,17
fr-61-077-012,17,1,0,17
fr-64-139-002,14,1,0,14
fr-64-024-003,46,1,0,46
fr-62-506-002,10,1,0,10
fr-67-348-009,29,1,0,29
fr-64-119-002,10,1,0,10
fr-50-127-004,11,1,0,11
fr-44-102-002,12,1,0,12
fr-22-300-001,13,1,0,13
fr-72-264-005,11,1,1,10
fr-72-039-003,45,1,0,45
fr-2b-042-001,10,1,0,10
fr-38-193-001,10,1,0,10
fr-35-223-001,11,1,0,11
fr-25-240-005,14,1,0,14
fr-29-125-020,24,1,0,24
fr-84-106-001,12,1,0,12
fr-14-514-023,12,1,0,13
fr-16-015-015,10,1,0,10
fr-19-073-002,11,1,0,12
fr-88-160-450,12,1,2,10
fr-33-038-007,10,0,0,10
fr-84-007-006,12,0,0,12
fr-74-007-002,11,0,0,11
