etablissement,nom,commune,departement,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,n_sans_dominante,ecart_sans_dominante,nom_ambigu
fr-85-215-001,ARRIVE,SAINT-FULGENT,85,113,10,0,0.0,0.18,maitre-coq,69.0,35,0.0,False
fr-87-085-003,COMPAGNIE MADRANGE,LIMOGES,87,120,23,0,0.0,1.6,madrange,50.0,60,0.5,False
fr-12-300-005,SALAISONS ET CONSERVES DU ROUERGUE,VILLEFRANCHE-DE-ROUERGUE,12,30,15,0,1.0,4.87,auchan,23.3,23,1.0,False
fr-22-093-001,COOPERL ARC ATLANTIQUE,LAMBALLE,22,235,45,1,1.0,1.6,madrange,20.0,188,1.0,False
fr-22-225-001,CONSERVES STEPHAN,PLOUMAGOAR,22,138,30,0,1.0,1.6,stephan,47.1,73,0.0,False
fr-22-321-008,GALLIANCE SAINT NICOLAS DU PELEM,SAINT-NICOLAS-DU-PELEM,22,36,15,4,1.0,1.3,inconnue,44.4,20,0.0,False
fr-29-004-023,JEAN-PIERRE TALLEC-L'HERITAGE DU GOUT,BANNALEC,29,222,16,0,1.0,1.9,tallec,40.5,132,1.0,False
fr-29-051-020,COMPAGNIE LAMPAULAISE DE SALAISON,ERGUE-GABERIC,29,50,15,0,1.0,2.1,madrange,28.0,36,1.5,False
fr-42-165-006,ETABLISSEMENTS MERLE ET COMPAGNIE,PANISSIERES,42,70,22,0,1.0,3.87,inconnue,14.3,60,1.5,False
fr-44-014-001,GALLIANCE LE BIGNON,LE BIGNON,44,56,22,1,1.0,1.2,pere-dodu,26.8,41,1.0,False
fr-49-239-001,HDC PRODUCTION / HDC PRODUCTION - SAVEURS DES MAUGES,BEAUPREAU-EN-MAUGES,49,41,6,0,1.0,1.9,saveurs-des-mauges,46.3,22,0.5,True
fr-51-649-002,ELIVIA,MAROLLES,51,38,14,1,1.0,0.95,carrefour,21.1,30,1.0,False
fr-55-545-002,ETABLISSEMENTS BERNI ET CIE,VERDUN,55,115,25,6,1.0,4.33,berni,34.8,75,2.0,False
fr-56-010-001,SOCIETE JEAN FLOCH,BAUD,56,125,31,0,1.0,2.1,carrefour,20.8,99,1.0,False
