marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal
toupargel,127,0.0,0.0,1.0,franchie,26,oui
casa-modena,29,0.0,-4.0,2.0,sous 30,7,non
casino,630,0.0,0.0,0.0,franchie,40,oui
cesar-moroni,30,0.0,-1.5,0.0,franchie,6,non
cmi-carrefour-marchandises-internationales,30,0.0,-2.5,0.5,franchie,15,non
citterio,97,0.0,-1.0,4.0,franchie,10,non
claude-leger,34,0.0,-1.0,0.0,franchie,9,non
comte-de-la-seynie,26,0.0,-1.0,1.0,sous 30,11,non
belle-france,248,0.0,0.0,1.0,franchie,34,non
volaille-francaise,19,0.0,-2.0,2.0,sous 30,6,oui
aldi,191,0.0,0.0,1.0,franchie,34,oui
la-vie-claire,60,0.0,-1.0,2.0,franchie,24,non
rochambeau,80,0.0,-1.0,1.0,franchie,22,non
larroque,15,0.0,-2.0,1.0,sous 30,8,non
nous-anti-gaspi,15,0.0,-2.0,2.0,sous 30,9,oui
pere-dodu,313,0.0,0.0,0.0,franchie,14,non
intermarche,165,0.0,0.0,1.0,franchie,31,non
jean-roze,233,0.0,-1.0,0.0,franchie,16,non
royal-halal,29,0.0,-1.0,1.0,sous 30,8,oui
royal-bernard,98,0.0,-1.0,0.5,franchie,12,oui
kerets,29,0.0,-1.0,1.0,sous 30,10,non
l-etal-du-volailler,664,0.0,-0.5,0.0,franchie,13,non
la-belle-chaurienne,117,0.0,-1.0,1.0,franchie,18,non
carrefour,1349,0.0,0.0,0.0,franchie,50,oui
knorr,19,0.0,-3.0,1.0,sous 30,11,non
pays-gourmand,33,0.0,-2.0,1.0,franchie,16,non
revilla,17,0.0,-3.0,12.0,sous 30,3,non
relais-gourmand,23,0.0,-2.0,1.0,sous 30,12,non
le-vieux-chene,47,0.0,-2.0,1.0,franchie,13,non
le-volvestre,22,0.0,-1.0,2.0,sous 30,8,non
le-manoir-alexandre,31,0.0,-1.0,2.0,franchie,11,non
le-gaulois,2727,0.0,0.0,1.0,franchie,23,non
le-choix-du-charcutier,26,0.0,-1.0,1.0,sous 30,7,non
le-pere-jean,21,0.0,-3.0,3.0,sous 30,9,non
le-petit-cuisinier,24,0.0,-2.0,3.0,sous 30,8,non
mix-buffet,52,0.0,-1.0,1.0,franchie,7,non
le-marsigny,46,0.0,-2.0,1.0,franchie,14,non
e-leclerc,37,0.0,-2.0,1.0,franchie,16,non
lidl,420,0.0,0.0,0.0,franchie,39,oui
les-bories,65,0.0,-1.0,1.0,franchie,16,non
lionor,18,0.0,-1.5,2.5,sous 30,5,oui
findus,37,0.0,-1.0,0.0,franchie,11,non
fiorini,28,0.0,-1.0,1.5,sous 30,4,non
franprix,142,0.0,0.0,1.0,franchie,24,non
fumagalli,15,0.0,-3.0,11.0,sous 30,6,non
dulano,130,0.0,-0.5,1.5,franchie,18,non
les-saveurs-de-bourdette,27,0.0,-1.0,2.0,sous 30,10,non
elpozo,69,0.0,-3.0,1.0,franchie,11,non
groupe-casino,15,0.0,-2.0,0.0,sous 30,10,non
porc-de-l-aveyron,26,0.0,0.0,0.0,sous 30,2,non
garbit,32,0.0,-1.0,0.0,franchie,4,non
ferial,47,0.0,0.0,2.0,franchie,11,non
iglo,20,0.0,-1.0,2.0,sous 30,7,oui
pierre-martinet,19,0.0,-2.0,2.0,sous 30,4,non
netto,246,0.0,0.0,1.0,franchie,32,oui
nature-bio,17,0.0,-2.0,3.0,sous 30,9,non
panache-des-landes,22,0.0,-1.0,0.5,sous 30,4,non
madern,15,0.0,-3.0,3.0,sous 30,5,non
marie,112,0.0,-1.0,0.0,franchie,10,non
maitre-coq,1039,0.0,0.0,0.0,franchie,19,oui
metro,30,0.0,-2.0,1.5,franchie,14,non
maison-riviere,88,0.0,-1.0,0.0,franchie,18,non
migros,42,0.0,-1.0,3.5,franchie,17,non
auchan,1122,0.0,0.0,0.0,franchie,45,non
marque-repere,754,0.0,0.0,0.0,franchie,44,oui
monoprix,466,0.0,0.0,0.0,franchie,40,non
le-pre-aux-canards,21,0.0,-2.0,2.0,sous 30,6,non
le-porc-francais,88,0.0,-1.0,1.0,franchie,11,non
les-eleveurs-de-la-charentonne,28,0.0,-0.5,3.0,sous 30,15,non
terrines-du-morvan,52,0.0,-2.0,1.0,franchie,13,non
denner,16,0.0,-9.0,3.0,sous 30,9,non
deluxe,133,0.0,-1.0,1.0,franchie,22,non
agerria,16,0.0,-4.0,2.0,sous 30,7,non
socopa,224,0.0,0.0,1.0,franchie,17,oui
secret-d-eleveurs,25,0.0,-2.0,2.0,sous 30,9,non
alain-martin,22,0.0,-1.0,2.5,sous 30,11,non
wiltmann,18,0.0,-1.5,1.5,sous 30,5,non
tallec,253,0.0,0.0,0.0,franchie,13,non
sudreau,24,0.0,-1.0,1.0,sous 30,6,non
tendre-et-plus,39,0.0,0.0,2.0,franchie,11,non
saveur-d-auge,51,0.0,-1.0,0.0,franchie,12,non
daunat,27,0.0,-1.0,1.0,sous 30,5,non
st-clement,18,0.0,-2.5,1.5,sous 30,10,non
cora,448,0.0,0.0,1.0,franchie,43,non
corril,61,0.0,-2.0,1.0,franchie,11,non
delhaize,105,0.0,-1.0,2.0,franchie,25,non
la-cuisine-des-saveurs,22,0.5,-1.5,2.0,sous 30,8,non
feyel,28,0.5,0.0,6.0,sous 30,8,non
leclerc,86,0.5,0.0,2.0,franchie,24,non
baton-rouge,16,0.5,0.0,2.0,sous 30,9,non
zentz,22,0.5,-1.0,3.0,sous 30,5,non
fratelli-beretta,30,0.5,-1.5,13.5,franchie,7,non
le-bois-jumel,21,1.0,0.0,2.0,sous 30,7,non
lartigue,17,1.0,-2.0,3.0,sous 30,10,non
itineraire-de-nos-regions,29,1.0,-2.0,3.0,sous 30,11,non
isali,41,1.0,1.0,2.0,franchie,5,oui
petit-prix,24,1.0,1.0,2.0,sous 30,8,non
la-grange,17,1.0,-1.0,1.0,sous 30,7,non
jean-caby,44,1.0,0.0,2.0,franchie,7,non
jean-floc-h,78,1.0,0.0,1.0,franchie,14,non
andre-loussouarn,32,1.0,0.0,1.0,franchie,9,non
orocbat,35,1.0,0.0,3.0,franchie,10,non
hiruak,122,1.0,-2.0,4.5,franchie,9,non
grand-jury,88,1.0,0.0,1.0,franchie,25,non
le-cesarin,28,1.0,0.0,2.0,sous 30,3,non
les-braserades,53,1.0,0.0,4.0,franchie,9,non
noel,31,1.0,-4.0,14.0,franchie,7,non
bahier,125,1.0,0.0,2.0,franchie,13,non
bofrost,24,1.0,-2.0,2.0,sous 30,10,non
tulip,26,1.0,-1.0,10.0,sous 30,9,oui
